"field_kOe","time_ps","signal"
20,14.28676,0.0479656
20,14.55419,0.0485524
20,14.82162,0.0499982
20,15.08905,0.0502636
20,15.35649,0.0488074
20,15.62392,0.0479609
20,15.89135,0.0529002
20,16.15879,0.0513285
20,16.42622,0.0531208
20,16.69365,0.052547
20,16.96108,0.0503267
20,17.22852,0.0513633
20,17.49595,0.0536416
20,17.76338,0.0523038
20,18.03082,0.0504821
20,18.29825,0.0528221
20,18.56568,0.0498944
20,18.83312,0.0484729
20,19.10055,0.0498711
20,19.36798,0.0550468
20,19.63541,0.056892
20,19.90285,0.0550872
20,20.17028,0.0545052
20,20.43771,0.0563116
20,20.70515,0.0514657
20,20.97258,0.0520506
20,21.24001,0.0535202
20,21.50745,0.0478831
20,21.77488,0.0495177
20,22.04231,0.050402
20,22.30974,0.0492526
20,22.57718,0.0391771
20,22.84461,0.0413599
20,23.11204,0.0383681
20,23.37948,0.0407561
20,23.64691,0.0401054
20,23.91434,0.0420382
20,24.18178,0.0488003
20,24.44921,0.050866
20,24.71664,0.0338181
20,24.98408,0.024722
20,25.25151,0.0226071
20,25.51894,0.0200095
20,25.78637,0.0178712
20,26.05381,0.0187585
20,26.32124,0.0200867
20,26.58867,0.0154578
20,26.85611,0.0112701
20,27.12354,0.0124987
20,27.39097,0.014358
20,27.6584,0.0088962
20,27.92584,0.00707399
20,28.19327,0.00774374
20,28.4607,0.00749544
20,28.72814,0.00544721
20,28.99557,0.00398471
20,29.263,0.00436119
20,29.53044,0.0102784
20,29.79787,0.00424887
20,30.0653,0.00962658
20,30.33274,0.00651402
20,30.60017,0.00802532
20,30.8676,0.00873723
20,31.13503,0.0106397
20,31.40247,0.0154884
20,31.6699,0.0204538
20,31.93733,0.02063
20,32.20477,0.019512
20,32.4722,0.0242057
20,32.73963,0.0327714
20,33.00706,0.0350255
20,33.2745,0.0309462
20,33.54193,0.0236009
20,33.80936,0.017613
20,34.0768,0.0136723
20,34.34423,0.0129449
20,34.61166,0.00785408
20,34.8791,0.0200439
20,35.14653,0.0231145
20,35.41396,0.0308193
20,35.6814,0.0351843
20,35.94883,0.033829
20,36.21626,0.0325002
20,36.48369,0.029684
20,36.75113,0.0276571
20,37.01856,0.0223914
20,37.28599,0.0179624
20,37.55343,0.0227308
20,37.82086,0.0176448
20,38.08829,0.0172897
20,38.35572,0.0172829
20,38.62316,0.0158352
20,38.89059,0.010213
20,39.15802,0.00975849
20,39.42546,0.00997818
20,39.69289,0.00968959
20,39.96032,0.00936695
20,40.22776,0.00293695
20,40.49519,0.00622252
20,40.76262,0.0052704
20,41.03005,0.00748383
20,41.29749,0.00412375
20,41.56492,0.00574716
20,41.83235,0.00519709
20,42.09979,0.00032656
20,42.36722,0.00908366
20,42.63465,0.00232948
20,42.90209,0.00346309
20,43.16952,0.00884018
20,43.43695,0.0107713
20,43.70438,0.00922955
20,43.97182,0.00671575
20,44.23925,0.00859612
20,44.50668,0.00714706
20,44.77412,0.00458455
20,45.04155,0.0084428
20,45.30898,0.0075143
20,45.57642,0.0058069
20,45.84385,0.0105415
20,46.11128,0.00904158
20,46.37872,0.00828875
20,46.64615,0.00992068
20,46.91358,0.00838841
20,47.18101,0.0113437
20,47.44845,0.0128907
20,47.71588,0.0155075
20,47.98331,0.0102258
20,48.25075,0.0138718
20,48.51818,0.00989191
20,48.78561,0.00861254
20,49.05304,0.0151912
20,49.32048,0.0125188
20,49.58791,0.0155092
20,49.85534,0.0153131
20,50.12278,0.0161908
20,50.39021,0.016248
20,50.65764,0.0136991
20,50.92508,0.0134122
20,51.19251,0.0104801
20,51.45994,0.00989628
20,51.72738,0.0117785
20,51.99481,0.00817115
20,52.26224,0.00860949
20,52.52967,0.0061714
20,52.79711,0.0032526
20,53.06454,0.00490482
20,53.33197,0.00600095
20,53.59941,0.00454332
20,53.86684,0.00486285
20,54.13427,-0.00129858
20,54.4017,-0.00271092
20,54.66914,-0.00627686
20,54.93657,-0.00559651
20,55.204,-0.00427087
20,55.47144,-0.00274658
20,55.73887,0.00300853
20,56.0063,-0.000709466
20,56.27374,0.00151906
20,56.54117,0.00443193
20,56.8086,0.00240445
20,57.07604,-0.000221718
20,57.34347,-0.00210248
20,57.6109,0.00170273
20,57.87833,0.00144263
20,58.14577,0.000878142
20,58.4132,0.00311236
25,-1.759225,-0.00113828
25,-1.491792,-0.000508355
25,-1.224359,0.00141863
25,-0.956926,0.005037
25,-0.689493,0.0315128
25,-0.42206,0.124584
25,-0.154627,0.283334
25,0.112806,0.520967
25,0.380239,0.80965
25,0.647672,0.999973
25,0.915105,0.97563
25,1.182538,0.882615
25,1.449971,0.779543
25,1.717404,0.669824
25,1.984837,0.583246
25,2.25227,0.524811
25,2.519703,0.476898
25,2.787136,0.441014
25,3.054569,0.402
25,3.322002,0.369145
25,3.589435,0.33966
25,3.856868,0.316471
25,4.124301,0.29784
25,4.391734,0.287045
25,4.659167,0.271668
25,4.9266,0.256746
25,5.194033,0.246516
25,5.461466,0.235813
25,5.728899,0.219025
25,5.996332,0.201025
25,6.263765,0.184171
25,6.531198,0.174275
25,6.798631,0.15874
25,7.066064,0.147762
25,7.333497,0.145854
25,7.60093,0.141424
25,7.868363,0.125437
25,8.135796,0.111827
25,8.403229,0.0978169
25,8.670662,0.0934543
25,8.938095,0.0857537
25,9.205528,0.0755953
25,9.472961,0.0702182
25,9.740394,0.0703916
25,10.00783,0.0717791
25,10.27526,0.0673103
25,10.54269,0.0603468
25,10.81013,0.0567259
25,11.07756,0.0571525
25,11.34499,0.0473372
25,11.61242,0.0452525
25,11.87986,0.0429538
25,12.14729,0.039421
25,12.41472,0.036106
25,12.68216,0.0309634
25,12.94959,0.0338937
25,13.21702,0.0324071
25,13.48446,0.0312173
25,13.75189,0.0331763
25,14.01932,0.0366355
25,14.28676,0.0382718
25,14.55419,0.0422481
25,14.82162,0.0418895
25,15.08905,0.0463988
25,15.35649,0.0489
25,15.62392,0.0500266
25,15.89135,0.0525398
25,16.15879,0.050547
25,16.42622,0.0497559
25,16.69365,0.0492924
25,16.96108,0.046431
25,17.22852,0.046265
25,17.49595,0.0425676
25,17.76338,0.0403087
25,18.03082,0.038231
25,18.29825,0.0365073
25,18.56568,0.0356839
25,18.83312,0.0306134
25,19.10055,0.0288642
25,19.36798,0.0284955
25,19.63541,0.0239929
25,19.90285,0.025037
25,20.17028,0.0232128
25,20.43771,0.0206113
25,20.70515,0.0161713
25,20.97258,0.0150925
25,21.24001,0.0107745
25,21.50745,0.0157382
25,21.77488,0.00919253
25,22.04231,0.00758306
25,22.30974,0.00619043
25,22.57718,0.00537359
25,22.84461,0.000320827
25,23.11204,0.00371803
25,23.37948,0.00782227
25,23.64691,0.01112
25,23.91434,0.0127614
25,24.18178,0.0169596
25,24.44921,0.0192239
25,24.71664,0.00844892
25,24.98408,0.0116185
25,25.25151,0.00949717
25,25.51894,0.0125922
25,25.78637,0.0160073
25,26.05381,0.0188537
25,26.32124,0.018954
25,26.58867,0.0175839
25,26.85611,0.0212688
25,27.12354,0.0229863
25,27.39097,0.0225242
25,27.6584,0.0211908
25,27.92584,0.0224415
25,28.19327,0.0236936
25,28.4607,0.0220082
25,28.72814,0.0203173
